word,emotion
scorpion,anger
paralyzed,anger
ill,anger
interrupt,anger
encumbrance,anger
sinner,anger
hulk,anger
inconsiderate,anger
dashed,anger
hiss,anger
dislocated,anger
opponent,anger
scapegoat,anger
prohibited,anger
spammers,anger
brrr,anger
tighten,anger
disqualified,anger
grumpy,anger
fib,anger
resisting,anger
phony,anger
crusade,anger
victim,anger
trickery,anger
loss,anger
neglected,anger
haye,anger
inappropriate,anger
eschew,anger
canker,anger
crunch,anger
criticism,anger
duplicity,anger
queues,anger
muff,anger
shriek,anger
depreciate,anger
carelessness,anger
mortality,anger
dismissal,anger
deflate,anger
dumps,anger
chaff,anger
dupe,anger
dramaqueen,anger
poverty,anger
revving,anger
disallowed,anger
boisterous,anger
thoughtless,anger
burial,anger
theocratic,anger
wince,anger
sullen,anger
involution,anger
talons,anger
senseless,anger
hoax,anger
misuse,anger
wasteful,anger
depreciated,anger
getyourown,anger
depressed,anger
taxed,anger
stalemate,anger
paralysis,anger
displaced,anger
limited,anger
disapointment,anger
orc,anger
ridiculous,anger
react,anger
spine,anger
presumptuous,anger
teasing,anger
homeless,anger
sharpen,anger
barrier,anger
hoot,anger
twitchy,anger
myopia,anger
spam,anger
restitution,anger
disconnects,anger
flexin,anger
lagging,anger
incompatible,anger
delinquent,anger
contraband,anger
agh,anger
shiver,anger
unfairness,anger
buffering,anger
foray,anger
troll,anger
noncompliance,anger
nether,anger
uncaring,anger
bogus,anger
bugaboo,anger
immaturity,anger
shock,anger
feisty,anger
pry,anger
nopoint,anger
notamorningperson,anger
quandary,anger
bear,anger
feminism,anger
rapping,anger
defendant,anger
inconvenient,anger
inoperative,anger
latent,anger
humbug,anger
interrupts,anger
fluctuation,anger
exaggerate,anger
lose,anger
stone,anger
shoplifting,anger
patter,anger
furnace,anger
soldier,anger
tease,anger
incompetent,anger
indoctrination,anger
tripping,anger
falsehood,anger
unfollow,anger
nonsense,anger
socialist,anger
rocket,anger
noisy,anger
notoriety,anger
complicate,anger
untrue,anger
cane,anger
skid,anger
mastery,anger
attentionseeker,anger
pouting,anger
lawyer,anger
vampire,anger
capslock,anger
obstacle,anger
fenced,anger
ringer,anger
halter,anger
dontunderstand,anger
detract,anger
witch,anger
frowning,anger
saber,anger
hunger,anger
imtryingtosleep,anger
shell,anger
recession,anger
politics,anger
lava,anger
dabbling,anger
wokemeup,anger
rascal,anger
tariff,anger
failing,anger
undesirable,anger
copycat,anger
resign,anger
versus,anger
darkness,anger
soaked,anger
unfulfilled,anger
abandoned,anger
owing,anger
unattainable,anger
bankruptcy,anger
misconception,anger
warden,anger
whiny,anger
tool,anger
confusion,anger
mosquito,anger
twitching,anger
unhelpful,anger
compress,anger
somethingigetalot,anger
nosey,anger
overpriced,anger
harry,anger
adder,anger
shortage,anger
melodrama,anger
possession,anger
desert,anger
overplayed,anger
unlucky,anger
arraignment,anger
unpaid,anger
rook,anger
uninvited,anger
powerless,anger
backbone,anger
sentence,anger
inefficient,anger
pout,anger
court,anger
endless,anger
misstatement,anger
distracted,anger
adverts,anger
delay,anger
misunderstanding,anger
excite,anger
inadmissible,anger
lightning,anger
preclude,anger
incase,anger
insecure,anger
